program_id,result_binary,gpa_normalized,gre_quant,gre_verbal,toefl,undergrad_tier_encoded,intern_score,intern_count,research_score,is_international,is_female,major_relevance_score,has_paper,has_research
4,1,3.81,165.0,161.0,,,,,0,0.0,,,,
23,0,3.4,159.0,160.0,,,,,0,0.0,,,,
20,1,3.94,161.0,170.0,,,,,0,0.0,,,,
32,1,3.3,158.0,161.0,,,,,0,0.0,,,,
1,1,3.85,156.0,170.0,,,,,0,1.0,,,,
32,0,3.93,158.0,170.0,,,,,0,0.0,,,,
8,0,3.73,148.0,170.0,,,,,0,1.0,,,,
5,1,4.0,151.0,168.0,,,,,0,1.0,,,,
27,0,3.93,158.0,170.0,,,,,0,0.0,,,,
32,1,3.92,156.0,170.0,,,,,0,1.0,,,,
8,1,3.98,156.0,165.0,,,,,0,1.0,,,,
1,0,3.93,158.0,170.0,,,,,0,0.0,,,,
8,1,4.0,156.0,170.0,,,,,0,1.0,,,,
8,1,3.64,149.0,167.0,,,,,0,1.0,,,,
8,0,3.0,149.0,164.0,,,,,0,1.0,,,,
32,1,3.9,162.0,169.0,,,,,0,1.0,,,,
4,1,3.97,159.0,170.0,,,,,0,1.0,,,,
8,1,3.3,156.0,166.0,,,,,0,1.0,,,,
32,0,3.88,163.0,170.0,,,,,0,0.0,,,,
5,0,4.0,162.0,170.0,,,,,0,1.0,,,,
8,1,3.8,165.0,165.0,,,,,0,0.0,,,,
21,1,3.8,164.0,166.0,,,,,0,0.0,,,,
10,1,3.3,153.0,159.0,,,,,0,0.0,,,,
23,1,3.95,150.0,163.0,,,,,0,1.0,,,,
23,1,3.6,152.0,170.0,,,,,0,1.0,,,,
17,1,3.68,155.0,154.0,,,,,0,0.0,,,,
5,1,3.6,165.0,170.0,,,,,0,1.0,,,,
1,1,4.0,167.0,158.0,,,,,0,1.0,,,,
6,1,3.6,153.0,166.0,,,,,0,1.0,,,,
6,1,4.0,163.0,170.0,,,,,0,1.0,,,,
23,1,3.98,154.0,164.0,,,,,0,1.0,,,,
25,1,3.96,170.0,170.0,,,,,0,0.0,,,,
25,0,3.7,154.0,164.0,,,,,0,1.0,,,,
10,0,3.6,152.0,167.0,,,,,0,1.0,,,,
25,0,3.92,170.0,170.0,,,,,0,1.0,,,,
23,1,3.06,160.0,168.0,,,,,0,0.0,,,,
18,0,3.92,160.0,169.0,,,,,0,0.0,,,,
25,0,4.0,165.0,170.0,,,,,0,1.0,,,,
23,1,3.9,164.0,164.0,,,,,0,0.0,,,,
6,1,3.75,164.0,168.0,,,,,0,0.0,,,,
18,1,3.94,164.0,164.0,,,,,0,0.0,,,,
6,1,3.94,164.0,164.0,,,,,0,0.0,,,,
18,0,3.97,167.0,168.0,,,,,0,1.0,,,,
6,1,4.0,164.0,170.0,,,,,0,1.0,,,,
5,1,4.0,163.0,170.0,,,,,0,1.0,,,,
18,1,3.97,160.0,167.0,,,,,0,1.0,,,,
23,1,3.0,162.0,165.0,,,,,0,1.0,,,,
8,1,3.7,159.0,169.0,,,,,0,1.0,,,,
8,0,3.5,160.0,169.0,,,,,0,1.0,,,,
4,1,3.94,163.0,168.0,,,,,0,0.0,,,,
8,1,3.2,170.0,161.0,,,,,0,1.0,,,,
1,0,3.94,163.0,168.0,,,,,0,0.0,,,,
17,0,3.52,147.0,161.0,,,,,0,1.0,,,,
26,1,3.2,140.0,167.0,,,,,0,1.0,,,,
8,1,3.5,145.0,165.0,,,,,0,1.0,,,,
8,0,4.0,160.0,167.0,,,,,0,0.0,,,,
8,0,3.5,150.0,159.0,,,,,0,0.0,,,,
8,0,3.85,166.0,168.0,,,,,0,0.0,,,,
23,1,2.83,160.0,166.0,,,,,0,0.0,,,,
23,1,3.78,162.0,170.0,,,,,0,1.0,,,,
23,1,3.5,155.0,168.0,,,,,0,1.0,,,,
1,1,3.7,162.0,170.0,,,,,0,1.0,,,,
4,0,3.56,149.0,170.0,,,,,0,1.0,,,,
4,0,3.8,166.0,166.0,,,,,0,1.0,,,,
8,1,3.75,170.0,170.0,,,,,0,0.0,,,,
8,0,3.0,150.0,164.0,,,,,0,1.0,,,,
8,1,3.87,154.0,165.0,,,,,0,1.0,,,,
5,0,3.6,152.0,168.0,,,,,0,1.0,,,,
21,1,3.7,159.0,167.0,,,,,0,0.0,,,,
25,0,3.2,166.0,152.0,,,,,0,1.0,,,,
26,1,3.72,156.0,164.0,,,,,0,1.0,,,,
8,0,3.15,153.0,166.0,,,,,0,1.0,,,,
8,1,3.2,153.0,157.0,,,,,0,1.0,,,,
8,1,3.9,161.0,165.0,,,,,0,1.0,,,,
18,0,3.72,170.0,164.0,,,,,0,0.0,,,,
33,1,4.0,150.0,168.0,,,,,0,1.0,,,,
1,1,3.83,166.0,167.0,,,,,0,0.0,,,,
17,1,3.0,161.0,170.0,,,,,0,1.0,,,,
5,1,3.9,170.0,153.0,,,,,0,1.0,,,,
