program_id,school,program,result,season,out_date,submit_date,method,tid,fin
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-04-13,2021-04-30,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-23,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2021 Fall,2021-04-09,2021-04-25,邮件,0,
87,BU,Mathematical Finance,AD小奖,2021 Fall,2021-04-02,2021-02-23,邮件,0,
87,BU,MS in Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-15,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-13,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-29,2021-02-25,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-18,2021-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-08,2021-02-03,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-08,2021-01-31,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-08,2021-02-03,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-03-03,2021-01-10,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-20,2021-01-15,邮件,0,
87,BU,Mathematical Finance,Waiting,2021 Fall,2021-02-06,2020-11-13,邮件,0,
87,BU,Mathematical Finance,Waiting,2021 Fall,2021-02-05,2020-11-12,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-01,2020-11-09,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-01,2020-11-27,邮件,0,
87,BU,Mathematical Finance,AD小奖,2021 Fall,2021-02-01,2020-11-13,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-01,2020-11-09,邮件,0,
87,BU,Mathematical Finance,AD小奖,2021 Fall,2021-02-01,2020-11-13,邮件,0,
87,BU,Mathematical Finance,AD无奖,2021 Fall,2021-02-02,2020-11-13,邮件,0,
87,BU,Mathematical Finance,AD小奖,2021 Fall,2021-02-01,2020-12-07,邮件,0,
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-20,,邮件,0,自费AD
87,BU,Mathematical Finance,AD小奖,2020 Fall,2020-05-19,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-05-14,,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-05-04,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-04-07,2020-01-29,邮件,0,自费AD
87,BU,Mathematical Finance,AD小奖,2020 Fall,2020-04-07,2020-01-10,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-04-07,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-21,2020-02-03,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-19,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-21,2020-02-03,网申,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-21,2020-01-16,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-20,2020-02-03,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-21,2020-01-09,邮件,0,自费AD
87,BU,Mathematical Finance,Reject,2020 Fall,2020-03-20,2020-02-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-20,2020-01-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-20,2020-01-01,邮件,0,自费AD
87,BU,Mathematical Finance,Waiting,2020 Fall,2020-03-20,2020-01-15,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-01,2020-01-13,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,,邮件,0,自费AD
87,BU,Mathematical Finance,AD无奖,2020 Fall,2020-03-05,2020-01-24,邮件,0,自费AD
