id,gender,bg_type,nationality,gpa,gpa_scale,gre,toefl,major,intern_desc,has_paper,has_research,courses_note,program,result,season,source
1310,unknown,,,,4,,,,,不明,不明,,utoronto-mmf,accepted,13Fall,quantnet_tracker
1311,unknown,,,3.6,4,,,,,不明,不明,,utoronto-mmf,accepted,13Fall,quantnet_tracker
1312,unknown,,,3.9,4,,,,,不明,不明,,utoronto-mmf,accepted,13Fall,quantnet_tracker
1313,unknown,,,3.8,4,,,,,不明,不明,,utoronto-mmf,rejected,13Fall,quantnet_tracker
1314,unknown,,,,4,170,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1315,unknown,,,3.55,4,167,109,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1316,unknown,,,3.82,4,,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1317,unknown,,,3.5,4,166,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1318,unknown,,,3.74,4,167,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1319,unknown,,,3.86,4,166,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1320,unknown,,,3.83,4,166,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1321,unknown,,,3.6,4,166,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1322,unknown,,,3.6,4,153,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1323,unknown,,,3.82,4,166,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1324,unknown,,,3.62,4,,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1325,unknown,,,3.7,4,165,101,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1326,unknown,,,3.96,4,,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1327,unknown,,,3.7,4,166,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1328,unknown,,,3.7,4,159,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1329,unknown,,,3.92,4,,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1330,unknown,,,3.31,4,,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1331,unknown,,,3.75,4,165,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1332,unknown,,,3.8,4,,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1333,unknown,,,3.67,4,,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1334,unknown,,,3.88,4,,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1335,unknown,,,3.72,4,166,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1336,unknown,,,3.6,4,165,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1337,unknown,,,,4,,,,,不明,不明,,utoronto-mmf,accepted,12Fall,quantnet_tracker
1338,unknown,,,3.15,4,161,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1339,unknown,,,4,4,168,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1340,unknown,,,3.92,4,166,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1341,unknown,,,3.5,4,169,,,,不明,不明,,utoronto-mmf,rejected,12Fall,quantnet_tracker
1342,unknown,,,3.7,4,164,,,,不明,不明,,utoronto-mmf,accepted,11Fall,quantnet_tracker
1343,unknown,,,,4,,,,,不明,不明,,utoronto-mmf,accepted,11Fall,quantnet_tracker
1344,unknown,,,3.96,4,166,,,,不明,不明,,utoronto-mmf,accepted,11Fall,quantnet_tracker
1345,unknown,,,3.9,4,166,,,,不明,不明,,utoronto-mmf,rejected,11Fall,quantnet_tracker
1346,unknown,,,,4,,,,,不明,不明,,utoronto-mmf,rejected,11Fall,quantnet_tracker
1347,unknown,,,3.7,4,,113,,,不明,不明,,utoronto-mmf,accepted,11Fall,quantnet_tracker
1348,unknown,,,,4,,,,,不明,不明,,utoronto-mmf,accepted,10Fall,quantnet_tracker
1349,unknown,,,,4,,,,,不明,不明,,utoronto-mmf,rejected,10Fall,quantnet_tracker
1350,unknown,,,3.5,4,163,,,,不明,不明,,utoronto-mmf,accepted,10Fall,quantnet_tracker
1351,unknown,,,3.78,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1352,unknown,,,3.8,4,168,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1353,unknown,,,3.99,4,170,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1354,unknown,,,3.95,4,164,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1355,unknown,,,3.96,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1356,unknown,,,4.0,4,170,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1357,unknown,,,3.72,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1358,unknown,,,4,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1359,unknown,,,3.95,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1360,unknown,,,3.97,4,170,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1361,unknown,,,3.94,4,170,103,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1362,unknown,,,3.89,4,170,115,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1363,unknown,,,3.84,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1364,unknown,,,4.0,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1365,unknown,,,3.91,4,,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1366,unknown,,,3.8,4,,99,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1367,unknown,,,3.92,4,168,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1368,unknown,,,3.98,4,168,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1369,unknown,,,3.95,4,168,,,,不明,不明,,columbia-msfe,accepted,26Fall,quantnet_tracker
1370,unknown,,,3.42,4,167,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1371,unknown,,,4.0,4,169,105,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1372,unknown,,,3.5,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1373,unknown,,,3.8,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1374,unknown,,,4,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1375,unknown,,,2.76,4,165,115,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1376,unknown,,,3.78,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1377,unknown,,,3.8,4,168,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1378,unknown,,,3.96,4,169,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1379,unknown,,,3.64,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1380,unknown,,,2.98,4,168,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1381,unknown,,,3.82,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1382,unknown,,,2.6,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1383,unknown,,,3.4,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1384,unknown,,,3.2,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1385,unknown,,,3.7,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1386,unknown,,,4.0,4,167,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1387,unknown,,,3.20,4,159,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1388,unknown,,,2.85,4,170,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1389,unknown,,,3.89,4,170,113,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1390,unknown,,,3.87,4,165,106,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1391,unknown,,,3.81,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1392,unknown,,,3.8,4,,112,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1393,unknown,,,3.1,4,165,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1394,unknown,,,3.5,4,168,109,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1395,unknown,,,3.98,4,170,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1396,unknown,,,3.53,4,168,108,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1397,unknown,,,3.98,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1398,unknown,,,3.6,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1399,unknown,,,3.47,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1400,unknown,,,4.0,4,167,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1401,unknown,,,3.7,4,168,102,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1402,unknown,,,3.77,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1403,unknown,,,3.44,4,170,113,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1404,unknown,,,3.75,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1405,unknown,,,3.7,4,167,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1406,unknown,,,3.78,4,165,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1407,unknown,,,3.85,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1408,unknown,,,3.7,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1409,unknown,,,4.0,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1410,unknown,,,3.8,4,170,102,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1411,unknown,,,3.65,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1412,unknown,,,3.96,4,167,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1413,unknown,,,3.97,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1414,unknown,,,3.31,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1415,unknown,,,3.27,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1416,unknown,,,3.38,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1417,unknown,,,3.82,4,170,109,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1418,unknown,,,3.87,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1419,unknown,,,3.9,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1420,unknown,,,3.9,4,170,112,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1421,unknown,,,3.71,4,170,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1422,unknown,,,3.48,4,170,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1423,unknown,,,3.94,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1424,unknown,,,3.99,4,170,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1425,unknown,,,3.96,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1426,unknown,,,3.86,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1427,unknown,,,3.5,4,162,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1428,unknown,,,3.81,4,169,107,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1429,unknown,,,3.91,4,170,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1430,unknown,,,3.4,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1431,unknown,,,3.88,4,170,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1432,unknown,,,3.7,4,170,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1433,unknown,,,3.87,4,169,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1434,unknown,,,3.82,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1435,unknown,,,3.75,4,169,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1436,unknown,,,3.82,4,168,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1437,unknown,,,3.70,4,169,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1438,unknown,,,3.9,4,170,104,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1439,unknown,,,3.83,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1440,unknown,,,4,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1441,unknown,,,3.5,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1442,unknown,,,3.99,4,167,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1443,unknown,,,3.64,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1444,unknown,,,3.55,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1445,unknown,,,,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1446,unknown,,,3.71,4,,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1447,unknown,,,3.7,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1448,unknown,,,3.5,4,167,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1449,unknown,,,3.76,4,,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1450,unknown,,,,4,167,,,,不明,不明,,columbia-msfe,accepted,25Fall,quantnet_tracker
1451,unknown,,,3.24,4,168,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1452,unknown,,,3.79,4,170,,,,不明,不明,,columbia-msfe,rejected,25Fall,quantnet_tracker
1453,unknown,,,3.87,4,165,106,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1454,unknown,,,3.49,4,166,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1455,unknown,,,3.77,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1456,unknown,,,3.7,4,168,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1457,unknown,,,3.85,4,169,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1458,unknown,,,3.59,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1459,unknown,,,3.58,4,166,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1460,unknown,,,3.756,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1461,unknown,,,3.88,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1462,unknown,,,3.72,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1463,unknown,,,3.77,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1464,unknown,,,3.83,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1465,unknown,,,3.36,4,166,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1466,unknown,,,3.74,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1467,unknown,,,3.9,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1468,unknown,,,3.24,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1469,unknown,,,3.4,4,165,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1470,unknown,,,3.34,4,168,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1471,unknown,,,3.5,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1472,unknown,,,3.74,4,164,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1473,unknown,,,3.5,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1474,unknown,,,3.16,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1475,unknown,,,,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1476,unknown,,,3.7,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1477,unknown,,,3.25,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1478,unknown,,,3.9,4,165,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1479,unknown,,,4.0,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1480,unknown,,,3.95,4,167,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1481,unknown,,,,4,166,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1482,unknown,,,,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1483,unknown,,,3.86,4,169,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1484,unknown,,,3.56,4,168,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1485,unknown,,,3.32,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1486,unknown,,,3.93,4,167,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1487,unknown,,,4,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1488,unknown,,,3.78,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1489,unknown,,,3.75,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1490,unknown,,,3.76,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1491,unknown,,,3.7,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1492,unknown,,,3.8,4,168,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1493,unknown,,,4,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1494,unknown,,,3.95,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1495,unknown,,,3.91,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1496,unknown,,,3.78,4,168,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1497,unknown,,,4.0,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1498,unknown,,,3.75,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1499,unknown,,,,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1500,unknown,,,3.2,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1501,unknown,,,3.62,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1502,unknown,,,3.8,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1503,unknown,,,3.58,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1504,unknown,,,,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1505,unknown,,,3.85,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1506,unknown,,,3.55,4,168,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1507,unknown,,,4.0,4,165,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1508,unknown,,,3.62,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1509,unknown,,,3.9,4,167,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1510,unknown,,,3.403,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1511,unknown,,,3.37,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1512,unknown,,,3.93,4,,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1513,unknown,,,3.38,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1514,unknown,,,4,4,169,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1515,unknown,,,3.85,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1516,unknown,,,3.39,4,165,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1517,unknown,,,2.84,4,167,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1518,unknown,,,3.8,4,,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1519,unknown,,,3.65,4,166,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1520,unknown,,,3.65,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1521,unknown,,,3.89,4,165,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1522,unknown,,,3.64,4,168,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1523,unknown,,,3.42,4,170,,,,不明,不明,,columbia-msfe,rejected,24Fall,quantnet_tracker
1524,unknown,,,3.99,4,170,,,,不明,不明,,columbia-msfe,accepted,24Fall,quantnet_tracker
1525,unknown,,,3.74,4,170,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1526,unknown,,,3.85,4,167,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1527,unknown,,,3.75,4,170,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1528,unknown,,,3.93,4,,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1529,unknown,,,3.7,4,167,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1530,unknown,,,3.73,4,168,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1531,unknown,,,3.22,4,170,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1532,unknown,,,4,4,170,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1533,unknown,,,3.96,4,170,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1534,unknown,,,3.8,4,,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1535,unknown,,,3.79,4,170,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1536,unknown,,,3.6,4,170,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1537,unknown,,,3.68,4,169,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1538,unknown,,,3.68,4,170,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1539,unknown,,,3.92,4,170,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1540,unknown,,,3.84,4,165,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1541,unknown,,,3.8,4,166,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1542,unknown,,,3,4,164,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1543,unknown,,,3.55,4,169,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1544,unknown,,,3.85,4,,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1545,unknown,,,3.66,4,,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1546,unknown,,,3.56,4,170,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1547,unknown,,,3.8,4,169,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1548,unknown,,,3.96,4,,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1549,unknown,,,3.7,4,,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1550,unknown,,,3.36,4,170,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1551,unknown,,,3,4,169,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1552,unknown,,,3.91,4,,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1553,unknown,,,3.43,4,,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1554,unknown,,,3.6,4,168,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1555,unknown,,,3.35,4,169,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1556,unknown,,,3.97,4,167,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1557,unknown,,,3.28,4,169,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1558,unknown,,,3.45,4,170,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1559,unknown,,,3.65,4,165,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1560,unknown,,,3.55,4,168,,,,不明,不明,,columbia-msfe,rejected,23Fall,quantnet_tracker
1561,unknown,,,3.5,4,165,,,,不明,不明,,columbia-msfe,accepted,23Fall,quantnet_tracker
1562,unknown,,,3.74,4,168,,,,不明,不明,,columbia-msfe,rejected,22Fall,quantnet_tracker
1563,unknown,,,3.23,4,170,,,,不明,不明,,columbia-msfe,rejected,22Fall,quantnet_tracker
1564,unknown,,,3.5,4,170,,,,不明,不明,,columbia-msfe,rejected,22Fall,quantnet_tracker
1565,unknown,,,3.96,4,169,,,,不明,不明,,columbia-msfe,accepted,22Fall,quantnet_tracker
1566,unknown,,,3.49,4,161,,,,不明,不明,,columbia-msfe,rejected,22Fall,quantnet_tracker
1567,unknown,,,3.771,4,170,,,,不明,不明,,columbia-msfe,accepted,22Fall,quantnet_tracker
1568,unknown,,,3.88,4,169,,,,不明,不明,,columbia-msfe,accepted,22Fall,quantnet_tracker
1569,unknown,,,2.83,4,168,,,,不明,不明,,columbia-msfe,rejected,22Fall,quantnet_tracker
1570,unknown,,,3.8,4,170,,,,不明,不明,,columbia-msfe,rejected,22Fall,quantnet_tracker
1571,unknown,,,3.61,4,170,,,,不明,不明,,columbia-msfe,accepted,22Fall,quantnet_tracker
1572,unknown,,,3.94,4,161,,,,不明,不明,,columbia-msfe,accepted,22Fall,quantnet_tracker
1573,unknown,,,3.89,4,130,,,,不明,不明,,columbia-msfe,rejected,22Fall,quantnet_tracker
